season,date,home_team,away_team,home_win_bool,home_max_rating_Defense,home_max_rating_GK,home_max_rating_Midfield,home_max_rating_Attack,home_median_rating_Defense,home_median_rating_GK,home_median_rating_Midfield,home_median_rating_Attack,home_var_rating_Defense,home_var_rating_GK,home_var_rating_Midfield,home_var_rating_Attack,home_sum_work_rate_Defense,home_sum_work_rate_GK,home_sum_work_rate_Midfield,home_sum_work_rate_Attack,away_max_rating_Defense,away_max_rating_GK,away_max_rating_Midfield,away_max_rating_Attack,away_median_rating_Defense,away_median_rating_GK,away_median_rating_Midfield,away_median_rating_Attack,away_var_rating_Defense,away_var_rating_GK,away_var_rating_Midfield,away_var_rating_Attack,away_sum_work_rate_Defense,away_sum_work_rate_GK,away_sum_work_rate_Midfield,away_sum_work_rate_Attack,home_win_1_0,diff_max_rating_Defense,diff_max_rating_GK,diff_max_rating_Midfield,diff_max_rating_Attack,diff_median_rating_Defense,diff_median_rating_GK,diff_median_rating_Midfield,diff_median_rating_Attack,diff_var_rating_Defense,diff_var_rating_GK,diff_var_rating_Midfield,diff_var_rating_Attack,diff_sum_work_rate_Defense,diff_sum_work_rate_GK,diff_sum_work_rate_Midfield,diff_sum_work_rate_Attack,diff_median_rating_home_attack_away_defense,diff_median_rating_home_defense_away_attack,diff_max_rating_home_attack_away_gk,diff_max_rating_home_gk_away_attack
14/15,2014-09-13,Sunderland,Tottenham Hotspur,FALSE,73,77,77,72,72,69,75,72,2,62.58404558404561,1.3333333333333335,0,1,6,0,1,74,85,82,80,73.5,76,78,80,0.5,80.62678062678062,7,0,1,8,2,0,0,-1,-8,-5,-8,-1.5,-7,-3,-8,1.5,-18.042735042735004,-5.666666666666666,0,0,-2,-2,1,-1.5,-8,-13,-3
14/15,2014-09-13,West Bromwich Albion,Everton,FALSE,72,79,74,76,70.5,71,73,76,4.5,57.062678062678074,14.333333333333332,0,1,4,0,1,82,82,80,80,80.5,73,78,80,4.5,65.36182336182335,4,0,2,5,3,1,0,-10,-3,-6,-4,-10,-2,-5,-4,0,-8.29914529914528,10.333333333333332,0,-1,-1,-3,0,-4.5,-9.5,-6,-1
14/15,2014-09-20,Queens Park Rangers,Stoke City,FALSE,76,79,79,74,73.5,71,73,74,12.5,63.30199430199431,17.333333333333332,0,1,1,0,1,73,82,77,75,72,72,75,75,2,64.69515669515668,2.3333333333333335,0,0,4,1,0,0,3,-3,2,-1,1.5,-1,-2,-1,10.5,-1.3931623931623704,14.999999999999998,0,1,-3,-1,1,2,-1.5,-8,4
14/15,2014-09-20,Swansea City,Southampton,FALSE,75,79,77,81,73.5,66,74.5,81,4.5,51.06615384615386,2,0,2,3,3,0,75,78,80,77,74.5,70,80,77,0.5,60.82336182336182,8.333333333333332,0,1,4,1,0,0,0,1,-3,4,-1,-4,-5.5,4,4,-9.757207977207962,-6.333333333333332,0,1,-1,2,0,6.5,-3.5,3,2
14/15,2014-09-21,Everton,Crystal Palace,FALSE,82,82,80,80,80.5,73,78,80,4.5,65.36182336182335,4,0,2,5,3,1,74,75,73,71,72,70,72,71,8,30.13105413105412,0.3333333333333333,0,0,3,1,0,0,8,7,7,9,8.5,3,6,9,-3.5,35.23076923076923,3.6666666666666665,0,2,2,2,1,8,9.5,5,11
14/15,2014-09-21,Manchester City,Chelsea,FALSE,82,86,87,86,81,78,83,86,2,134.0883190883191,20.333333333333332,0,2,7,2,1,81,86,88,85,80,76,84,85,2,133.1025641025641,12.333333333333332,0,1,8,1,1,0,1,0,-1,1,1,2,-1,1,0,0.9857549857550225,8,0,1,-1,1,0,6,-4,0,1
14/15,2014-09-21,Tottenham Hotspur,West Bromwich Albion,FALSE,74,85,82,80,73.5,76,78,80,0.5,80.62678062678062,7,0,1,8,2,0,72,79,74,76,70.5,71,73,76,4.5,57.062678062678074,14.333333333333332,0,1,4,0,1,0,2,6,8,4,3,5,5,4,-4,23.56410256410254,-7.333333333333332,0,0,4,2,-1,9.5,-2.5,1,9
14/15,2014-09-27,Arsenal,Tottenham Hotspur,FALSE,76,84,77,86,73.5,77,77,84,12.5,87.23361823361823,0,17.333333333333332,1,6,1,2,74,85,82,80,73.5,76,78,80,0.5,80.62678062678062,7,0,1,8,2,0,0,2,-1,-5,6,0,1,-1,4,12,6.606837606837615,-7,17.333333333333332,0,-2,-1,2,10.5,-6.5,1,4
14/15,2014-09-27,Liverpool,Everton,FALSE,78,83,81,82,74,76,79,82,32,89.26780626780626,2.3333333333333335,0,2,6,3,-1,82,82,80,80,80.5,73,78,80,4.5,65.36182336182335,4,0,2,5,3,1,0,-4,1,1,2,-6.5,3,1,2,27.5,23.90598290598291,-1.6666666666666665,0,0,1,0,-2,1.5,-6,0,3
14/15,2014-09-27,Southampton,Queens Park Rangers,TRUE,75,78,80,77,74.5,70,80,77,0.5,60.82336182336182,8.333333333333332,0,1,4,1,0,76,79,79,74,73.5,71,73,74,12.5,63.30199430199431,17.333333333333332,0,1,1,0,1,1,-1,-1,1,3,1,-1,7,3,-12,-2.478632478632491,-9,0,0,3,1,-1,3.5,0.5,-2,4
14/15,2014-09-27,Sunderland,Swansea City,FALSE,73,77,77,72,72,69,75,72,2,62.58404558404561,1.3333333333333335,0,1,6,0,1,75,79,77,81,73.5,66,74.5,81,4.5,51.06615384615386,2,0,2,3,3,0,0,-2,-2,0,-9,-1.5,3,0.5,-9,-2.5,11.517891737891752,-0.6666666666666665,0,-1,3,-3,1,-1.5,-9,-7,-4
14/15,2014-09-29,Stoke City,Newcastle United,TRUE,73,82,77,75,72,72,75,75,2,64.69515669515668,2.3333333333333335,0,0,4,1,0,75,79,79,73,72.5,68,74,73,12.5,37.153846153846146,8.333333333333332,0,2,8,1,1,1,-2,3,-2,2,-0.5,4,1,2,-10.5,27.541310541310537,-5.999999999999998,0,-2,-4,0,-1,2.5,-1,-4,9
14/15,2014-10-04,Liverpool,West Bromwich Albion,TRUE,78,83,81,82,74,76,79,82,32,89.26780626780626,2.3333333333333335,0,2,6,3,-1,72,79,74,76,70.5,71,73,76,4.5,57.062678062678074,14.333333333333332,0,1,4,0,1,1,6,4,7,6,3.5,5,6,6,27.5,32.20512820512819,-11.999999999999998,0,1,2,3,-2,11.5,-2,3,7
14/15,2014-10-04,Sunderland,Stoke City,TRUE,73,77,77,72,72,69,75,72,2,62.58404558404561,1.3333333333333335,0,1,6,0,1,73,82,77,75,72,72,75,75,2,64.69515669515668,2.3333333333333335,0,0,4,1,0,1,0,-5,0,-3,0,-3,0,-3,0,-2.1111111111110716,-1,0,1,2,-1,1,0,-3,-10,2
14/15,2014-10-04,Swansea City,Newcastle United,FALSE,75,79,77,81,73.5,66,74.5,81,4.5,51.06615384615386,2,0,2,3,3,0,75,79,79,73,72.5,68,74,73,12.5,37.153846153846146,8.333333333333332,0,2,8,1,1,0,0,0,-2,8,1,-2,0.5,8,-8,13.912307692307714,-6.333333333333332,0,0,-5,2,-1,8.5,0.5,2,6
14/15,2014-10-05,Chelsea,Arsenal,TRUE,81,86,88,85,80,76,84,85,2,133.1025641025641,12.333333333333332,0,1,8,1,1,76,84,77,86,73.5,77,77,84,12.5,87.23361823361823,0,17.333333333333332,1,6,1,2,1,5,2,11,-1,6.5,-1,7,1,-10.5,45.86894586894586,12.333333333333332,-17.333333333333332,0,2,0,-1,11.5,-4,1,0
14/15,2014-10-05,Tottenham Hotspur,Southampton,TRUE,74,85,82,80,73.5,76,78,80,0.5,80.62678062678062,7,0,1,8,2,0,75,78,80,77,74.5,70,80,77,0.5,60.82336182336182,8.333333333333332,0,1,4,1,0,1,-1,7,2,3,-1,6,-2,3,0,19.803418803418793,-1.3333333333333321,0,0,4,1,0,5.5,-3.5,2,8
14/15,2014-10-18,Crystal Palace,Chelsea,FALSE,74,75,73,71,72,70,72,71,8,30.13105413105412,0.3333333333333333,0,0,3,1,0,81,86,88,85,80,76,84,85,2,133.1025641025641,12.333333333333332,0,1,8,1,1,0,-7,-11,-15,-14,-8,-6,-12,-14,6,-102.97150997150996,-11.999999999999998,0,-1,-5,0,-1,-9,-13,-15,-10
14/15,2014-10-18,Manchester City,Tottenham Hotspur,TRUE,82,86,87,86,81,78,83,86,2,134.0883190883191,20.333333333333332,0,2,7,2,1,74,85,82,80,73.5,76,78,80,0.5,80.62678062678062,7,0,1,8,2,0,1,8,1,5,6,7.5,2,5,6,1.5,53.461538461538495,13.333333333333332,0,1,-1,0,1,12.5,1,1,6
14/15,2014-10-18,Southampton,Sunderland,TRUE,75,78,80,77,74.5,70,80,77,0.5,60.82336182336182,8.333333333333332,0,1,4,1,0,73,77,77,72,72,69,75,72,2,62.58404558404561,1.3333333333333335,0,1,6,0,1,1,2,1,3,5,2.5,1,5,5,-1.5,-1.76068376068379,6.999999999999998,0,0,-2,1,-1,5,2.5,0,6
14/15,2014-10-19,Queens Park Rangers,Liverpool,FALSE,76,79,79,74,73.5,71,73,74,12.5,63.30199430199431,17.333333333333332,0,1,1,0,1,78,83,81,82,74,76,79,82,32,89.26780626780626,2.3333333333333335,0,2,6,3,-1,0,-2,-4,-2,-8,-0.5,-5,-6,-8,-19.5,-25.96581196581195,14.999999999999998,0,-1,-5,-3,2,0,-8.5,-9,-3
14/15,2014-10-19,Stoke City,Swansea City,TRUE,73,82,77,75,72,72,75,75,2,64.69515669515668,2.3333333333333335,0,0,4,1,0,75,79,77,81,73.5,66,74.5,81,4.5,51.06615384615386,2,0,2,3,3,0,1,-2,3,0,-6,-1.5,6,0.5,-6,-2.5,13.629002849002823,0.3333333333333335,0,-2,1,-2,0,1.5,-9,-4,1
14/15,2014-10-25,Southampton,Stoke City,TRUE,75,78,80,77,74.5,70,80,77,0.5,60.82336182336182,8.333333333333332,0,1,4,1,0,73,82,77,75,72,72,75,75,2,64.69515669515668,2.3333333333333335,0,0,4,1,0,1,2,-4,3,2,2.5,-2,5,2,-1.5,-3.8717948717948616,5.999999999999998,0,1,0,0,0,5,-0.5,-5,3
14/15,2014-10-25,Sunderland,Arsenal,FALSE,73,77,77,72,72,69,75,72,2,62.58404558404561,1.3333333333333335,0,1,6,0,1,76,84,77,86,73.5,77,77,84,12.5,87.23361823361823,0,17.333333333333332,1,6,1,2,0,-3,-7,0,-14,-1.5,-8,-2,-12,-10.5,-24.64957264957262,1.3333333333333335,-17.333333333333332,0,0,-1,-1,-1.5,-12,-12,-9
14/15,2014-10-25,West Bromwich Albion,Crystal Palace,FALSE,72,79,74,76,70.5,71,73,76,4.5,57.062678062678074,14.333333333333332,0,1,4,0,1,74,75,73,71,72,70,72,71,8,30.13105413105412,0.3333333333333333,0,0,3,1,0,0,-2,4,1,5,-1.5,1,1,5,-3.5,26.931623931623953,13.999999999999998,0,1,1,-1,1,4,-0.5,1,8
14/15,2014-10-26,Tottenham Hotspur,Newcastle United,FALSE,74,85,82,80,73.5,76,78,80,0.5,80.62678062678062,7,0,1,8,2,0,75,79,79,73,72.5,68,74,73,12.5,37.153846153846146,8.333333333333332,0,2,8,1,1,0,-1,6,3,7,1,8,4,7,-12,43.47293447293447,-1.3333333333333321,0,-1,0,1,-1,7.5,0.5,1,12
14/15,2014-11-01,Chelsea,Queens Park Rangers,TRUE,81,86,88,85,80,76,84,85,2,133.1025641025641,12.333333333333332,0,1,8,1,1,76,79,79,74,73.5,71,73,74,12.5,63.30199430199431,17.333333333333332,0,1,1,0,1,1,5,7,9,11,6.5,5,11,11,-10.5,69.80056980056978,-5,0,0,7,1,0,11.5,6,6,12
14/15,2014-11-01,Everton,Swansea City,FALSE,82,82,80,80,80.5,73,78,80,4.5,65.36182336182335,4,0,2,5,3,1,75,79,77,81,73.5,66,74.5,81,4.5,51.06615384615386,2,0,2,3,3,0,0,7,3,3,-1,7,7,3.5,-1,0,14.295669515669495,2,0,0,2,0,1,6.5,-0.5,1,1
14/15,2014-11-01,Newcastle United,Liverpool,TRUE,75,79,79,73,72.5,68,74,73,12.5,37.153846153846146,8.333333333333332,0,2,8,1,1,78,83,81,82,74,76,79,82,32,89.26780626780626,2.3333333333333335,0,2,6,3,-1,1,-3,-4,-2,-9,-1.5,-8,-5,-9,-19.5,-52.11396011396012,5.999999999999998,0,0,2,-2,2,-1,-9.5,-10,-3
14/15,2014-11-03,Crystal Palace,Sunderland,FALSE,74,75,73,71,72,70,72,71,8,30.13105413105412,0.3333333333333333,0,0,3,1,0,73,77,77,72,72,69,75,72,2,62.58404558404561,1.3333333333333335,0,1,6,0,1,0,1,-2,-4,-1,0,1,-3,-1,6,-32.45299145299149,-1.0000000000000002,0,-1,-3,1,-1,-1,0,-6,3
14/15,2014-11-08,Liverpool,Chelsea,FALSE,78,83,81,82,74,76,79,82,32,89.26780626780626,2.3333333333333335,0,2,6,3,-1,81,86,88,85,80,76,84,85,2,133.1025641025641,12.333333333333332,0,1,8,1,1,0,-3,-3,-7,-3,-6,0,-5,-3,30,-43.83475783475782,-9.999999999999998,0,1,-2,2,-2,2,-11,-4,-2
14/15,2014-11-08,Queens Park Rangers,Manchester City,FALSE,76,79,79,74,73.5,71,73,74,12.5,63.30199430199431,17.333333333333332,0,1,1,0,1,82,86,87,86,81,78,83,86,2,134.0883190883191,20.333333333333332,0,2,7,2,1,0,-6,-7,-8,-12,-7.5,-7,-10,-12,10.5,-70.7863247863248,-3,0,-1,-6,-2,0,-7,-12.5,-12,-7
14/15,2014-11-09,Sunderland,Everton,FALSE,73,77,77,72,72,69,75,72,2,62.58404558404561,1.3333333333333335,0,1,6,0,1,82,82,80,80,80.5,73,78,80,4.5,65.36182336182335,4,0,2,5,3,1,0,-9,-5,-3,-8,-8.5,-4,-3,-8,-2.5,-2.777777777777743,-2.6666666666666665,0,-1,1,-3,0,-8.5,-8,-10,-3
14/15,2014-11-09,Swansea City,Arsenal,TRUE,75,79,77,81,73.5,66,74.5,81,4.5,51.06615384615386,2,0,2,3,3,0,76,84,77,86,73.5,77,77,84,12.5,87.23361823361823,0,17.333333333333332,1,6,1,2,1,-1,-5,0,-5,0,-11,-2.5,-3,-8,-36.16746438746437,2,-17.333333333333332,1,-3,2,-2,7.5,-10.5,-3,-7
14/15,2014-11-09,Tottenham Hotspur,Stoke City,FALSE,74,85,82,80,73.5,76,78,80,0.5,80.62678062678062,7,0,1,8,2,0,73,82,77,75,72,72,75,75,2,64.69515669515668,2.3333333333333335,0,0,4,1,0,0,1,3,5,5,1.5,4,3,5,-1.5,15.931623931623932,4.666666666666666,0,1,4,1,0,8,-1.5,-2,10
14/15,2014-11-09,West Bromwich Albion,Newcastle United,FALSE,72,79,74,76,70.5,71,73,76,4.5,57.062678062678074,14.333333333333332,0,1,4,0,1,75,79,79,73,72.5,68,74,73,12.5,37.153846153846146,8.333333333333332,0,2,8,1,1,0,-3,0,-5,3,-2,3,-1,3,-8,19.908831908831928,6,0,-1,-4,-1,0,3.5,-2.5,-3,6
14/15,2014-11-22,Chelsea,West Bromwich Albion,TRUE,81,86,88,85,80,76,84,85,2,133.1025641025641,12.333333333333332,0,1,8,1,1,72,79,74,76,70.5,71,73,76,4.5,57.062678062678074,14.333333333333332,0,1,4,0,1,1,9,7,14,9,9.5,5,11,9,-2.5,76.03988603988601,-2,0,0,4,1,0,14.5,4,6,10
14/15,2014-11-22,Manchester City,Swansea City,TRUE,82,86,87,86,81,78,83,86,2,134.0883190883191,20.333333333333332,0,2,7,2,1,75,79,77,81,73.5,66,74.5,81,4.5,51.06615384615386,2,0,2,3,3,0,1,7,7,10,5,7.5,12,8.5,5,-2.5,83.02216524216524,18.333333333333332,0,0,4,-1,1,12.5,0,7,5
14/15,2014-11-22,Newcastle United,Queens Park Rangers,TRUE,75,79,79,73,72.5,68,74,73,12.5,37.153846153846146,8.333333333333332,0,2,8,1,1,76,79,79,74,73.5,71,73,74,12.5,63.30199430199431,17.333333333333332,0,1,1,0,1,1,-1,0,0,-1,-1,-3,1,-1,0,-26.148148148148167,-9,0,1,7,1,0,-0.5,-1.5,-6,5
14/15,2014-11-23,Crystal Palace,Liverpool,TRUE,74,75,73,71,72,70,72,71,8,30.13105413105412,0.3333333333333333,0,0,3,1,0,78,83,81,82,74,76,79,82,32,89.26780626780626,2.3333333333333335,0,2,6,3,-1,1,-4,-8,-8,-11,-2,-6,-7,-11,-24,-59.13675213675214,-2,0,-2,-3,-2,1,-3,-10,-12,-7
14/15,2014-11-29,Liverpool,Stoke City,TRUE,78,83,81,82,74,76,79,82,32,89.26780626780626,2.3333333333333335,0,2,6,3,-1,73,82,77,75,72,72,75,75,2,64.69515669515668,2.3333333333333335,0,0,4,1,0,1,5,1,4,7,2,4,4,7,30,24.57264957264958,0,0,2,2,2,-1,10,-1,0,8
14/15,2014-11-29,Sunderland,Chelsea,FALSE,73,77,77,72,72,69,75,72,2,62.58404558404561,1.3333333333333335,0,1,6,0,1,81,86,88,85,80,76,84,85,2,133.1025641025641,12.333333333333332,0,1,8,1,1,0,-8,-9,-11,-13,-8,-7,-9,-13,0,-70.51851851851848,-10.999999999999998,0,0,-2,-1,0,-8,-13,-14,-8
14/15,2014-11-29,Swansea City,Crystal Palace,FALSE,75,79,77,81,73.5,66,74.5,81,4.5,51.06615384615386,2,0,2,3,3,0,74,75,73,71,72,70,72,71,8,30.13105413105412,0.3333333333333333,0,0,3,1,0,0,1,4,4,10,1.5,-4,2.5,10,-3.5,20.93509971509974,1.6666666666666667,0,2,0,2,0,9,2.5,6,8
14/15,2014-11-29,West Bromwich Albion,Arsenal,FALSE,72,79,74,76,70.5,71,73,76,4.5,57.062678062678074,14.333333333333332,0,1,4,0,1,76,84,77,86,73.5,77,77,84,12.5,87.23361823361823,0,17.333333333333332,1,6,1,2,0,-4,-5,-3,-10,-3,-6,-4,-8,-8,-30.170940170940156,14.333333333333332,-17.333333333333332,0,-2,-1,-1,2.5,-13.5,-8,-7
14/15,2014-11-30,Southampton,Manchester City,FALSE,75,78,80,77,74.5,70,80,77,0.5,60.82336182336182,8.333333333333332,0,1,4,1,0,82,86,87,86,81,78,83,86,2,134.0883190883191,20.333333333333332,0,2,7,2,1,0,-7,-8,-7,-9,-6.5,-8,-3,-9,-1.5,-73.26495726495729,-12,0,-1,-3,-1,-1,-4,-11.5,-9,-8
14/15,2014-11-30,Tottenham Hotspur,Everton,TRUE,74,85,82,80,73.5,76,78,80,0.5,80.62678062678062,7,0,1,8,2,0,82,82,80,80,80.5,73,78,80,4.5,65.36182336182335,4,0,2,5,3,1,1,-8,3,2,0,-7,3,0,0,-4,15.26495726495726,3,0,-1,3,-1,-1,-0.5,-6.5,-2,5
14/15,2014-12-02,Swansea City,Queens Park Rangers,TRUE,75,79,77,81,73.5,66,74.5,81,4.5,51.06615384615386,2,0,2,3,3,0,76,79,79,74,73.5,71,73,74,12.5,63.30199430199431,17.333333333333332,0,1,1,0,1,1,-1,0,-2,7,0,-5,1.5,7,-8,-12.235840455840453,-15.333333333333332,0,1,2,3,-1,7.5,-0.5,2,5
14/15,2014-12-03,Arsenal,Southampton,TRUE,76,84,77,86,73.5,77,77,84,12.5,87.23361823361823,0,17.333333333333332,1,6,1,2,75,78,80,77,74.5,70,80,77,0.5,60.82336182336182,8.333333333333332,0,1,4,1,0,1,1,6,-3,9,-1,7,-3,7,12,26.41025641025641,-8.333333333333332,17.333333333333332,0,2,0,2,9.5,-3.5,8,7
14/15,2014-12-03,Chelsea,Tottenham Hotspur,TRUE,81,86,88,85,80,76,84,85,2,133.1025641025641,12.333333333333332,0,1,8,1,1,74,85,82,80,73.5,76,78,80,0.5,80.62678062678062,7,0,1,8,2,0,1,7,1,6,5,6.5,0,6,5,1.5,52.47578347578347,5.333333333333332,0,0,0,-1,1,11.5,0,0,6
14/15,2014-12-03,Sunderland,Manchester City,FALSE,73,77,77,72,72,69,75,72,2,62.58404558404561,1.3333333333333335,0,1,6,0,1,82,86,87,86,81,78,83,86,2,134.0883190883191,20.333333333333332,0,2,7,2,1,0,-9,-9,-10,-14,-9,-9,-8,-14,0,-71.5042735042735,-19,0,-1,-1,-2,0,-9,-14,-14,-9
